	SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002-mock3-indexG3	CoV002-mock2-indexG2	CoV002-mock1-indexG1	CoV002-CoV2-3-indexG6	CoV002-CoV2-2-indexG5	CoV002-CoV2-1-indexG4	svRNA184-mock-3-indexF3	svRNA184-mock-1-indexF1	svRNA184-RSV-3-indexH9	svRNA184-RSV-1-indexF4	3_9_mock1_13	3_9_mock2_14	3_9_wt1_15	3_9_wt2_16
DDX11L1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
WASH7P	29	24	23	34	19	44	68	43	33	65	79	48	184	128	51	43	15	12	3	3
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC729737	112	119	113	127	84	270	11	3	6	8	10	10	108	95	37	11	1	5	0	2
LOC100132287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100133331	19	21	36	16	23	54	54	23	20	45	42	36	127	93	25	16	16	14	10	3
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100288069	13	17	27	19	9	50	23	18	5	30	17	14	7	12	4	3	5	15	8	3
LINC00115	9	12	26	12	7	28	29	15	2	17	13	16	38	24	13	6	5	11	4	0
LOC643837	93	74	143	88	95	301	250	127	83	243	197	136	145	95	41	30	39	81	77	18
FAM41C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
LOC100130417	0	1	0	0	0	0	84	38	34	81	41	40	224	254	41	40	4	9	1	2
SAMD11	11	20	8	26	10	63	1013	517	456	1052	961	720	2236	1470	466	264	112	218	22	30
NOC2L	1773	1757	2554	1915	1605	5162	2188	1260	1070	2375	2360	1854	2376	1627	634	515	437	851	534	188
KLHL17	110	133	131	168	78	242	317	218	155	401	389	329	662	442	265	146	56	85	34	19
PLEKHN1	170	172	254	186	120	403	114	73	59	141	111	97	177	132	116	56	18	35	8	1
C1orf170	4	8	1	3	1	7	28	18	13	29	29	18	105	65	46	28	11	6	2	0
HES4	26	52	57	30	17	64	307	173	123	320	291	241	292	271	399	162	38	64	25	9
ISG15	45	52	51	82	45	211	90	42	37	1418	1242	877	959	698	5801	4196	39	123	58	13
AGRN	2887	3576	4140	3682	2053	6988	9042	4665	3502	9511	8947	7039	10407	7947	4762	2788	1079	1791	411	306
RNF223	7	4	9	6	4	4	1	2	0	1	0	0	1	1	1	0	0	0	0	1
C1orf159	47	76	77	83	34	120	363	183	144	355	377	287	452	314	202	111	39	88	38	26
LOC254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	1	3	3	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR429	3	9	14	3	2	11	0	0	1	0	0	0	2	3	1	0	0	0	0	0
TTLL10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNFRSF4	0	0	0	1	0	1	3	0	0	0	1	0	3	0	2	2	0	0	0	0
SDF4	1530	1572	1975	1840	1232	3914	2752	1644	1366	3066	3048	2305	4247	2986	1446	866	418	860	720	235
B3GALT6	202	167	222	130	146	397	822	437	375	815	841	622	865	578	245	191	110	258	88	41
FAM132A	0	4	3	3	2	5	13	2	3	10	7	5	23	23	10	9	0	1	0	1
UBE2J2	275	273	418	277	230	637	685	376	315	830	722	593	851	684	292	194	129	238	129	60
SCNN1D	7	10	20	12	8	9	139	84	43	122	84	83	531	315	170	86	24	37	11	6
ACAP3	305	339	470	357	251	744	645	355	284	575	561	434	1411	1045	364	233	100	180	48	25
PUSL1	75	81	131	108	55	172	274	158	150	272	276	203	314	240	99	57	33	82	11	18
CPSF3L	524	488	853	657	483	1384	1251	699	534	1237	1215	919	1691	1266	519	362	221	426	257	80
GLTPD1	110	118	160	141	88	321	363	184	153	363	348	291	527	339	149	75	55	119	32	23
TAS1R3	8	1	4	0	0	1	10	7	8	15	16	16	15	15	6	4	0	4	3	0
DVL1	544	657	762	738	395	1358	1693	918	720	1757	1614	1331	1809	1218	696	384	250	450	209	123
MXRA8	18	21	12	27	17	28	124	56	49	75	73	54	249	248	77	35	12	24	1	2
AURKAIP1	401	397	630	517	358	1139	1856	1067	818	1967	1902	1454	2655	1700	711	521	285	521	133	85
CCNL2	926	1115	1358	1049	866	2555	1752	1155	837	2277	2049	1772	5355	4029	1806	1043	325	591	282	114
LOC148413	192	140	238	157	124	418	296	175	139	294	304	245	440	356	123	74	64	129	40	23
MRPL20	663	541	738	513	491	1799	1225	719	544	1651	1431	1012	1374	966	409	292	251	559	508	180
ANKRD65	242	298	375	256	174	594	0	0	0	1	0	0	3	1	0	0	1	0	0	0
TMEM88B	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0
VWA1	217	270	319	359	163	522	490	247	240	674	598	439	1087	777	347	218	94	212	31	30
ATAD3C	11	9	20	12	11	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD3B	154	223	292	287	172	508	38	29	28	40	45	34	70	39	10	12	4	5	1	2
ATAD3A	170	202	284	274	181	569	834	471	368	822	806	657	623	362	152	137	136	208	109	48
TMEM240	1	1	0	0	1	0	6	2	2	5	6	3	14	9	3	3	0	2	0	0
SSU72	1078	886	1344	827	851	2692	2010	1158	895	2510	2078	1670	2164	1629	757	420	393	835	1512	239
C1orf233	29	26	60	48	15	83	194	104	79	202	208	119	225	132	57	30	38	47	9	6
MIB2	104	133	156	147	59	237	481	230	221	483	422	384	1159	739	357	171	68	132	57	28
MMP23B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MMP23A	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
CDK11B	229	227	256	243	210	695	498	322	236	519	565	389	549	376	180	110	83	156	113	45
SLC35E2B	376	375	497	357	304	889	843	508	382	925	809	612	718	645	199	107	165	320	137	31
CDK11A	97	82	125	113	98	295	245	155	127	253	280	219	475	307	141	89	26	87	54	12
SLC35E2	106	107	168	90	88	229	348	231	163	353	311	237	334	378	138	50	73	103	56	24
NADK	388	334	555	396	319	976	1055	678	462	1110	1041	832	993	843	342	235	177	336	277	98
GNB1	8479	6953	11155	7486	7295	20663	6351	3562	2732	7816	7161	5134	2647	2036	1226	774	1106	2380	2916	522
CALML6	4	6	7	10	4	12	13	3	5	8	9	5	46	24	18	8	0	1	0	1
TMEM52	0	6	1	4	2	10	6	0	1	7	18	6	11	16	2	3	1	2	3	3
KIAA1751	0	0	2	0	0	0	3	1	0	2	2	2	7	3	0	0	1	0	0	0
GABRD	0	0	0	0	0	0	15	6	6	10	11	9	31	26	7	6	4	1	4	0
PRKCZ	638	552	894	579	478	1510	254	157	123	322	249	225	240	166	75	52	46	129	95	19
C1orf86	153	181	224	189	121	364	442	273	220	491	519	387	1041	663	423	216	106	166	92	43
SKI	633	633	850	763	529	1669	937	438	422	1048	890	691	874	665	322	137	166	294	240	71
MORN1	23	25	46	39	26	75	127	75	78	142	155	93	168	108	47	20	22	48	17	5
LOC100129534	28	16	24	20	12	46	65	36	24	39	34	30	70	83	20	8	15	20	8	1
RER1	1495	1370	2065	1319	1336	3642	2120	1287	981	2495	2125	1649	2727	2029	896	563	359	665	714	210
PEX10	157	144	244	114	94	354	401	250	199	411	377	296	283	237	80	52	59	116	56	30
PLCH2	948	1118	1290	1204	852	2578	13	5	5	8	11	9	4	4	3	5	0	9	7	1
PANK4	242	239	329	301	232	664	362	193	162	393	369	308	426	281	136	76	56	135	85	23
HES5	2	2	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC115110	6	11	3	6	0	16	1	0	0	0	1	0	6	1	0	0	0	0	2	0
LOC100133445	5	1	12	4	3	8	0	0	0	0	1	0	0	1	0	0	0	0	0	0
TNFRSF14	80	104	105	75	57	154	1	1	0	0	1	0	11	16	4	7	0	1	0	0
FAM213B	379	297	519	353	268	953	485	290	239	566	530	397	359	324	113	57	81	154	56	24
MMEL1	1	2	0	1	4	3	2	1	0	1	0	0	4	5	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	1	1	1	0	3	0	2	1	0	1	0	1	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ42875	0	1	4	2	0	6	0	0	1	1	0	0	1	0	3	0	0	1	0	0
PRDM16	35	25	39	27	19	56	11	9	3	20	16	8	22	12	2	3	8	14	12	2
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	210	232	281	288	186	538	198	86	93	209	180	144	294	219	96	83	35	54	39	13
MEGF6	57	76	80	52	43	122	544	266	219	464	431	306	1357	1125	584	360	60	125	45	12
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	689	629	1158	622	665	2019	641	400	291	679	548	461	348	314	113	107	123	157	129	29
WRAP73	125	121	165	142	102	275	492	283	248	568	526	437	582	419	177	169	96	209	100	50
TP73	12	17	10	8	3	16	20	10	1	13	15	10	13	4	2	3	2	3	0	2
TP73-AS1	159	195	231	173	153	433	497	293	209	528	493	445	524	412	143	109	96	149	87	27
CCDC27	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0
SMIM1	4	5	6	7	10	11	15	7	6	21	14	13	38	14	25	17	3	2	0	3
LRRC47	494	450	686	523	432	1346	1086	594	469	1158	1140	873	787	631	229	151	254	391	270	106
CEP104	594	462	806	488	510	1397	702	390	323	751	675	510	480	447	149	74	140	280	297	67
DFFB	80	58	116	86	83	223	126	80	59	148	129	74	152	113	42	30	20	34	20	7
C1orf174	178	169	249	153	178	465	474	247	218	632	523	400	432	377	148	88	109	206	263	57
LOC100133612	3	5	5	0	2	2	12	7	1	8	4	3	4	1	3	0	1	1	2	0
LOC728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	13	24	29	14	6	22	0	0	0	0	0	0	3	1	0	0	0	0	2	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NPHP4	109	85	140	124	98	314	312	208	153	340	339	263	308	204	53	50	53	102	56	38
KCNAB2	31	32	55	34	27	86	722	409	346	712	632	463	864	549	173	117	205	378	256	64
CHD5	1	3	6	0	5	6	46	33	32	78	69	55	9	10	3	5	11	17	8	6
RPL22	4150	3374	6186	3925	4344	11992	5578	3085	2539	8870	7026	4349	9852	7919	2551	2088	1159	3120	2315	564
RNF207	198	267	276	261	248	746	586	368	243	605	525	488	1472	1150	553	368	81	125	94	34
ICMT	1369	1213	1963	1107	1153	3580	3482	1942	1471	3979	3274	2660	1878	1718	322	246	516	932	927	231
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	738	697	1019	870	678	2044	58	38	24	69	60	52	158	111	53	53	13	23	10	3
ACOT7	675	588	963	794	494	2017	1578	859	624	1751	1613	1230	952	753	422	343	235	402	478	160
HES2	4768	3998	6323	3999	3981	11630	26	20	9	31	26	21	81	57	25	20	7	15	8	0
ESPN	515	638	836	485	339	1016	0	0	0	2	2	0	18	12	3	2	2	0	0	0
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	157	233	279	211	148	531	41	19	12	34	21	34	116	93	81	31	4	10	5	7
PLEKHG5	922	1100	1485	1197	798	2632	107	62	43	142	130	94	203	172	86	65	19	32	16	11
NOL9	314	255	396	227	264	646	461	288	197	588	428	344	425	384	107	94	133	207	192	49
TAS1R1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	127	164	210	159	121	396	221	114	98	230	235	188	430	359	115	85	29	72	37	19
KLHL21	482	428	871	531	462	1241	820	458	352	663	593	461	459	371	71	53	129	156	53	43
PHF13	216	176	307	158	203	482	400	232	180	518	419	349	332	342	121	76	51	103	65	28
